scores,mean_scores,record
0,0.0,49
0,0.0,49
0,0.0,49
0,0.0,49
1,0.2,49
0,0.16666666666666666,49
0,0.14285714285714285,49
1,0.25,49
0,0.2222222222222222,49
0,0.2,49
0,0.18181818181818182,49
0,0.16666666666666666,49
0,0.15384615384615385,49
0,0.14285714285714285,49
1,0.2,49
1,0.25,49
0,0.23529411764705882,49
0,0.2222222222222222,49
0,0.21052631578947367,49
0,0.2,49
1,0.23809523809523808,49
0,0.22727272727272727,49
0,0.21739130434782608,49
0,0.20833333333333334,49
0,0.2,49
1,0.23076923076923078,49
0,0.2222222222222222,49
1,0.25,49
0,0.2413793103448276,49
0,0.23333333333333334,49
0,0.22580645161290322,49
0,0.21875,49
0,0.21212121212121213,49
0,0.20588235294117646,49
0,0.2,49
0,0.19444444444444445,49
0,0.1891891891891892,49
0,0.18421052631578946,49
1,0.20512820512820512,49
0,0.2,49
1,0.21951219512195122,49
2,0.2619047619047619,49
0,0.2558139534883721,49
0,0.25,49
0,0.24444444444444444,49
0,0.2391304347826087,49
0,0.23404255319148937,49
0,0.22916666666666666,49
1,0.24489795918367346,49
0,0.24,49
2,0.27450980392156865,49
0,0.2692307692307692,49
0,0.2641509433962264,49
0,0.25925925925925924,49
1,0.2727272727272727,49
0,0.26785714285714285,49
1,0.2807017543859649,49
1,0.29310344827586204,49
2,0.3220338983050847,49
0,0.31666666666666665,49
1,0.32786885245901637,49
1,0.3387096774193548,49
0,0.3333333333333333,49
1,0.34375,49
0,0.3384615384615385,49
1,0.3484848484848485,49
0,0.34328358208955223,49
0,0.3382352941176471,49
0,0.3333333333333333,49
0,0.32857142857142857,49
1,0.3380281690140845,49
1,0.3472222222222222,49
0,0.3424657534246575,49
0,0.33783783783783783,49
0,0.3333333333333333,49
0,0.32894736842105265,49
3,0.36363636363636365,49
0,0.358974358974359,49
0,0.35443037974683544,49
1,0.3625,49
0,0.35802469135802467,49
7,0.43902439024390244,49
0,0.43373493975903615,49
2,0.4523809523809524,49
0,0.4470588235294118,49
2,0.46511627906976744,49
0,0.45977011494252873,49
0,0.45454545454545453,49
2,0.47191011235955055,49
2,0.4888888888888889,49
0,0.4835164835164835,49
0,0.4782608695652174,49
0,0.4731182795698925,49
1,0.4787234042553192,49
0,0.47368421052631576,49
0,0.46875,49
0,0.4639175257731959,49
2,0.47959183673469385,49
0,0.47474747474747475,49
0,0.47,49
2,0.48514851485148514,49
0,0.4803921568627451,49
1,0.4854368932038835,49
0,0.4807692307692308,49
0,0.47619047619047616,49
0,0.4716981132075472,49
1,0.4766355140186916,49
1,0.48148148148148145,49
0,0.47706422018348627,49
2,0.4909090909090909,49
1,0.4954954954954955,49
0,0.49107142857142855,49
1,0.49557522123893805,49
1,0.5,49
4,0.5304347826086957,49
0,0.5258620689655172,49
0,0.5213675213675214,49
0,0.5169491525423728,49
4,0.5462184873949579,49
1,0.55,49
8,0.6115702479338843,49
1,0.6147540983606558,49
0,0.6097560975609756,49
1,0.6129032258064516,49
2,0.624,49
0,0.6190476190476191,49
0,0.6141732283464567,49
1,0.6171875,49
0,0.6124031007751938,49
0,0.6076923076923076,49
0,0.6030534351145038,49
0,0.5984848484848485,49
0,0.5939849624060151,49
1,0.5970149253731343,49
1,0.6,49
0,0.5955882352941176,49
0,0.5912408759124088,49
0,0.5869565217391305,49
0,0.5827338129496403,49
0,0.5785714285714286,49
0,0.574468085106383,49
19,0.704225352112676,49
0,0.6993006993006993,49
1,0.7013888888888888,49
0,0.696551724137931,49
0,0.6917808219178082,49
0,0.6870748299319728,49
1,0.6891891891891891,49
3,0.7046979865771812,49
17,0.8133333333333334,49
0,0.8079470198675497,49
0,0.8026315789473685,49
0,0.7973856209150327,49
1,0.7987012987012987,49
15,0.8903225806451613,49
2,0.8974358974358975,49
3,0.910828025477707,49
0,0.9050632911392406,49
2,0.9119496855345912,49
0,0.90625,49
0,0.9006211180124224,49
0,0.8950617283950617,49
0,0.8895705521472392,49
11,0.9512195121951219,49
2,0.9575757575757575,49
0,0.9518072289156626,49
0,0.9461077844311377,49
11,1.005952380952381,49
0,1.0,49
0,0.9941176470588236,49
0,0.9883040935672515,49
6,1.0174418604651163,49
4,1.0346820809248556,49
4,1.0517241379310345,49
0,1.0457142857142858,49
4,1.0625,49
4,1.07909604519774,49
6,1.1067415730337078,49
16,1.1899441340782122,49
3,1.2,49
26,1.3370165745856353,49
25,1.467032967032967,49
1,1.46448087431694,49
1,1.4619565217391304,49
1,1.4594594594594594,49
1,1.456989247311828,49
26,1.588235294117647,49
21,1.6914893617021276,49
8,1.7248677248677249,49
25,1.8473684210526315,49
7,1.87434554973822,49
3,1.8802083333333333,49
6,1.9015544041450778,49
8,1.9329896907216495,49
7,1.958974358974359,49
21,2.056122448979592,49
0,2.045685279187817,49
10,2.085858585858586,49
11,2.130653266331658,49
6,2.15,49
18,2.228855721393035,49
3,2.232673267326733,49
15,2.2955665024630543,49
1,2.2892156862745097,49
17,2.3609756097560974,49
16,2.4271844660194173,49
0,2.4154589371980677,49
9,2.4471153846153846,49
2,2.444976076555024,49
30,2.5761904761904764,49
11,2.6161137440758293,49
11,2.6556603773584904,49
5,2.6666666666666665,49
5,2.677570093457944,49
25,2.781395348837209,49
1,2.7731481481481484,49
2,2.769585253456221,49
33,2.908256880733945,49
5,2.9178082191780823,49
20,2.9954545454545456,49
16,3.0542986425339365,49
1,3.045045045045045,49
7,3.062780269058296,49
1,3.0535714285714284,49
7,3.071111111111111,49
26,3.172566371681416,49
19,3.2422907488986783,49
41,3.4078947368421053,49
20,3.480349344978166,49
28,3.5869565217391304,49
9,3.6103896103896105,49
10,3.6379310344827585,49
11,3.6695278969957084,49
8,3.6880341880341883,49
2,3.6808510638297873,49
23,3.76271186440678,49
23,3.8438818565400843,49
30,3.953781512605042,49
7,3.9665271966527196,49
30,4.075,49
34,4.199170124481328,49
7,4.210743801652892,49
18,4.267489711934156,49
34,4.389344262295082,49
4,4.387755102040816,49
8,4.402439024390244,49
5,4.4048582995951415,49
36,4.532258064516129,49
32,4.642570281124498,49
13,4.676,49
15,4.717131474103586,49
28,4.809523809523809,49
7,4.818181818181818,49
7,4.826771653543307,49
5,4.827450980392157,49
4,4.82421875,49
24,4.898832684824903,49
34,5.011627906976744,49
38,5.138996138996139,49
26,5.219230769230769,49
18,5.268199233716475,49
4,5.263358778625954,49
9,5.277566539923955,49
14,5.3106060606060606,49
49,5.475471698113208,49
11,5.496240601503759,49
24,5.5655430711610485,49
12,5.58955223880597,49
26,5.66542750929368,49
31,5.7592592592592595,49
16,5.797047970479705,49
31,5.889705882352941,49
25,5.95970695970696,49
6,5.95985401459854,49
19,6.007272727272727,49
2,5.992753623188406,49
16,6.028880866425993,49
23,6.089928057553957,49
36,6.197132616487456,49
7,6.2,49
11,6.217081850533808,49
8,6.223404255319149,49
1,6.204946996466431,49
16,6.23943661971831,49
17,6.277192982456141,49
40,6.395104895104895,49
29,6.473867595818815,49
22,6.527777777777778,49
17,6.56401384083045,49
17,6.6,49
14,6.625429553264605,49
9,6.633561643835616,49
18,6.67235494880546,49
7,6.673469387755102,49
6,6.671186440677966,49
27,6.739864864864865,49
4,6.730639730639731,49
11,6.74496644295302,49
1,6.725752508361204,49
4,6.716666666666667,49
7,6.717607973421927,49
